business_date,account,custodian_security_code,quantity,price,market_value,currency
2026-09-18,ACC-EQ-01,CUST0024,940.0593,3946.33,3709784.03,INR
2026-09-18,ACC-EQ-01,CUST0058,3945.0,2232.41,8806857.45,INR
2026-09-18,ACC-EQ-01,CUST0058,3945.0,2232.41,8806857.45,INR
2026-09-18,ACC-EQ-01,CUST0015,2891.0,951.98,2752174.18,USD
2026-09-18,ACC-EQ-01,CUSTGHOST01,520.0,1248.28,649105.6,INR
2026-09-18,ACC-EQ-01,CUST9001,2133.0,665.26,1418999.58,INR
2026-09-18,ACC-EQ-01,CUSTAMBIG1,714.0,830.92,593276.88,INR
2026-09-18,ACC-FI-01,CUST0001,500000.0,99.09,49545.0,INR
2026-09-18,ACC-EQ-01,CUST0049,2000.0,1574.38,3148760.0,INR
2026-09-18,ACC-EQ-01,CUST0009,600.0,2194.12,1316472.0,INR
2026-09-18,ACC-EQ-01,CUST0057,367.0,1191.6276,437327.33,INR
2026-09-18,ACC-EQ-01,CUST0037,3819.0,459.63,1755326.97,INR
2026-09-18,ACC-EQ-01,CUST0035,350.0,1165.39,407886.5,INR
2026-09-18,ACC-EQ-01,CUST0048,500.0,1300.81,650405.0,INR
2026-09-18,ACC-EQ-01,CUST0060,4154.35,3026.15,12571686.25,INR
2026-09-18,ACC-EQ-01,CUST0039,1425.0,1999.35,2849073.75,INR
2026-09-18,ACC-EQ-01,CUST0020,4561.0,1127.92,5144443.12,INR
2026-09-18,ACC-EQ-01,CUST0014,1320.0,4101.59,5414098.8,INR
2026-09-18,ACC-EQ-01,CUST0017,1265.0,460.63,582696.95,INR
2026-09-18,ACC-EQ-01,CUST0004,1459.0,3597.93,5249379.87,INR
2026-09-18,ACC-EQ-01,CUST0007,4974.0,3407.97,16951242.78,INR
2026-09-18,ACC-EQ-01,CUST0056,4762.0,4157.19,19796538.78,INR
2026-09-18,ACC-EQ-01,CUST0047,3697.0,690.94,2554405.18,INR
2026-09-18,ACC-EQ-01,CUST0029,2591.0,3193.84,8275239.44,INR
2026-09-18,ACC-EQ-01,CUST0025,2330.0,2327.05,5422026.5,INR
2026-09-18,ACC-EQ-01,CUST0055,4145.0,2054.25,8514866.25,INR
2026-09-18,ACC-EQ-01,CUST0034,4999.0,323.39,1616626.61,INR
2026-09-18,ACC-EQ-01,CUST0038,3639.0,3345.22,12173255.58,INR
2026-09-18,ACC-EQ-01,CUST0045,2151.0,262.51,564659.01,INR
2026-09-18,ACC-EQ-01,CUST0005,1975.0,4334.31,8560262.25,INR
2026-09-18,ACC-EQ-01,CUST0040,4812.0,2703.98,13011551.76,INR
2026-09-18,ACC-EQ-01,CUST0019,269.0,4498.14,1209999.66,INR
2026-09-18,ACC-EQ-01,CUST0027,2307.0,2656.67,6128937.69,INR
2026-09-18,ACC-EQ-01,CUST0028,1535.0,2196.68,3371903.8,INR
2026-09-18,ACC-EQ-01,CUST0059,3722.0,4134.92,15390172.24,INR
2026-09-18,ACC-EQ-01,CUST0046,1586.0,4486.71,7115922.06,INR
2026-09-18,ACC-EQ-01,CUST0043,1160.0,335.65,38935.4,INR
2026-09-18,ACC-EQ-01,CUST0003,1300.0,486.07,63189.1,INR
2026-09-18,ACC-EQ-01,CUST0021,500000000.0,98.48,49240000.0,INR
2026-09-18,ACC-EQ-01,CUST0013,900.0,194.48,17503.2,INR
2026-09-18,ACC-EQ-01,CUST0032,1000000.0,100.29,1002900.0,INR
2026-09-18,ACC-EQ-01,CUST0033,890.0,235.24,20936.36,INR
2026-09-18,ACC-EQ-01,CUST0062,2500000.0,99.43,2485750.0,INR
2026-09-18,ACC-EQ-01,CUST0053,1070.0,416.1,44522.7,INR
2026-09-18,ACC-EQ-01,CUST0011,50000000.0,99.55,4977500.0,INR
2026-09-18,ACC-EQ-01,CUST0001,250000000.0,97.52,24380000.0,INR
2026-09-18,ACC-EQ-01,CUST0061,50000000.0,104.7,5235000.0,INR
2026-09-18,ACC-EQ-01,CUST0041,500000000.0,103.65,51825000.0,INR
