internal_security_id,custodian_security_code,isin,ticker,security_name,asset_class,currency,unit_multiplier,status,effective_from
SEC0001,CUST0001,IN0T9NT3W5U1,SHREECEM,SHREECEM Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0002,CUST0002,INBIKCIDKWN5,BHARTIARTL,BHARTIARTL Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC0003,CUST0003,INMYZYCWTIQ4,TCS,TCS Ltd,Derivative,INR,10,ACTIVE,2015-01-01
SEC0004,CUST0004,IN9XUY41IBL4,ULTRACEMCO,ULTRACEMCO Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0005,CUST0005,INC6UZHR5XF2,SUNPHARMA,SUNPHARMA Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0006,CUST0006,INIUJV6OH9S1,MARUTI,MARUTI Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0007,CUST0007,IN14FFYVNVQ4,KOTAKBANK,KOTAKBANK Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0008,CUST0008,IN84AZYTJXE6,SBIN,SBIN Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0009,CUST0009,INFAZZ81SDW8,EICHERMOT,EICHERMOT Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0010,CUST0010,INVF1T2TALA5,HINDUNILVR,HINDUNILVR Ltd,Equity,INR,1,ACTIVE,2015-01-01
SEC0011,CUST0011,IN53LC58DRC8,HEROMOTOCO,HEROMOTOCO Ltd,FixedIncome,INR,1000,ACTIVE,2015-01-01
SEC0012,CUST0012,IN1ERTJ5PHT3,HCLTECH,HCLTECH Ltd,MoneyMarket,INR,100,ACTIVE,2015-01-01
SEC0013,CUST0013,INZOYN6QICA8,HDFCBANK,HDFCBANK Ltd,Derivative,INR,10,ACTIVE,2015-01-01
SEC0014,CUST0014,INIHCWI64CI7,INDUSINDBK,INDUSINDBK Ltd,Equity,INR,1,ACTIVE,2015-01-01
